sample_id,customer_id,template_id,text,intent,split,source,dataset_version
S0001,C0244,return_request-12,想请你帮忙：签收后想退掉这件商品。,return_request,validation,course-authored-synthetic,1.0.0
S0002,C0068,warranty-03,我这边的情况是：保修卡丢了还能修吗，谢谢。,warranty,train,course-authored-synthetic,1.0.0
S0003,C0006,return_request-16,想请你帮忙：不是换货，我要退回商品。,return_request,test,course-authored-synthetic,1.0.0
S0004,C0030,change_address-00,麻烦确认一下，还没发货想修改收货地址。,change_address,train,course-authored-synthetic,1.0.0
S0005,C0056,return_request-06,你好，请给我办理退货？,return_request,train,course-authored-synthetic,1.0.0
S0006,C0007,payment-17,想请你帮忙：发票以后再说，现在支付失败。,payment,test,course-authored-synthetic,1.0.0
S0007,C0099,warranty-16,不要求换货，只想送去维修。,warranty,test,course-authored-synthetic,1.0.0
S0008,C0074,unknown-validation-00,你好，明天会不会下雨？,unknown,validation,course-authored-synthetic,1.0.0
S0009,C0165,cancel_order-05,想请你帮忙：请终止这笔待发货订单。,cancel_order,train,course-authored-synthetic,1.0.0
S0010,C0179,change_address-18,我这边的情况是：收件地点写成旧办公室了，谢谢。,change_address,test,course-authored-synthetic,1.0.0
S0011,C0227,technical_help-07,你好，软件升级怎么操作？,technical_help,train,course-authored-synthetic,1.0.0
S0012,C0021,cancel_order-12,待处理订单需要关闭。,cancel_order,validation,course-authored-synthetic,1.0.0
S0013,C0044,cancel_order-19,想请你帮忙：没发货的这单请停止履约。,cancel_order,test,course-authored-synthetic,1.0.0
S0014,C0019,shipping_status-14,还没收到东西想查运单。,shipping_status,validation,course-authored-synthetic,1.0.0
S0015,C0135,payment-13,我这边的情况是：钱扣走了订单仍是待付款，谢谢。,payment,validation,course-authored-synthetic,1.0.0
S0016,C0058,product_info-05,我这边的情况是：这个商品是什么材质，谢谢。,product_info,train,course-authored-synthetic,1.0.0
S0017,C0033,complaint-00,我要投诉客服的态度。,complaint,train,course-authored-synthetic,1.0.0
S0018,C0101,change_address-06,我这边的情况是：收货电话要换成新的，谢谢。,change_address,train,course-authored-synthetic,1.0.0
S0019,C0244,return_request-12,麻烦确认一下，签收后想退掉这件商品。,return_request,validation,course-authored-synthetic,1.0.0
S0020,C0236,shipping_status-10,你好，我需要查收货时间？,shipping_status,train,course-authored-synthetic,1.0.0
S0021,C0166,change_address-08,我要修改收件信息。,change_address,train,course-authored-synthetic,1.0.0
S0022,C0077,cancel_order-18,麻烦确认一下，未支付的购买记录能撤掉吗。,cancel_order,test,course-authored-synthetic,1.0.0
S0023,C0194,change_address-01,我这边的情况是：收件人电话写错了，谢谢。,change_address,train,course-authored-synthetic,1.0.0
S0024,C0164,warranty-05,你好，这台设备需要送修？,warranty,train,course-authored-synthetic,1.0.0
S0025,C0119,complaint-12,请把服务态度问题升级给经理。,complaint,validation,course-authored-synthetic,1.0.0
S0026,C0023,exchange_request-00,我要申请换货。,exchange_request,train,course-authored-synthetic,1.0.0
S0027,C0170,change_address-10,想请你帮忙：收货地点需要变更。,change_address,train,course-authored-synthetic,1.0.0
S0028,C0228,cancel_order-00,你好，订单还没发货，我要取消？,cancel_order,train,course-authored-synthetic,1.0.0
S0029,C0217,technical_help-02,你好，请教一下使用步骤？,technical_help,train,course-authored-synthetic,1.0.0
S0030,C0120,unknown-test-04,你好，请解释月食形成的原因？,unknown,test,course-authored-synthetic,1.0.0
S0031,C0243,payment-15,麻烦确认一下，结账可以分期付款吗。,payment,validation,course-authored-synthetic,1.0.0
S0032,C0073,product_info-12,还没买，想比较不同版本。,product_info,validation,course-authored-synthetic,1.0.0
S0033,C0105,payment-02,麻烦确认一下，扣款两次请帮我核实。,payment,train,course-authored-synthetic,1.0.0
S0034,C0059,refund_status-14,想请你帮忙：我想跟踪返款状态。,refund_status,validation,course-authored-synthetic,1.0.0
S0035,C0231,warranty-07,请帮我查询维修进度。,warranty,train,course-authored-synthetic,1.0.0
S0036,C0060,return_request-09,这个产品我不要了，已经签收要退。,return_request,train,course-authored-synthetic,1.0.0
S0037,C0174,warranty-14,我这边的情况是：想找官方修理中心，谢谢。,warranty,validation,course-authored-synthetic,1.0.0
S0038,C0248,payment-08,我这边的情况是：扫码支付没有成功，谢谢。,payment,train,course-authored-synthetic,1.0.0
S0039,C0006,return_request-16,你好，不是换货，我要退回商品？,return_request,test,course-authored-synthetic,1.0.0
S0040,C0105,payment-02,我这边的情况是：扣款两次请帮我核实，谢谢。,payment,train,course-authored-synthetic,1.0.0
S0041,C0066,cancel_order-06,麻烦确认一下，重复下单想取消一笔。,cancel_order,train,course-authored-synthetic,1.0.0
S0042,C0040,warranty-02,我这边的情况是：坏了能免费维修吗，谢谢。,warranty,train,course-authored-synthetic,1.0.0
S0043,C0140,product_info-14,麻烦确认一下，这个型号的重量和尺寸能介绍吗。,product_info,validation,course-authored-synthetic,1.0.0
S0044,C0120,unknown-test-04,麻烦确认一下，请解释月食形成的原因。,unknown,test,course-authored-synthetic,1.0.0
S0045,C0005,invoice-08,想请你帮忙：这笔订单需要重开发票。,invoice,train,course-authored-synthetic,1.0.0
S0046,C0195,invoice-12,已付款想取得报销发票。,invoice,validation,course-authored-synthetic,1.0.0
S0047,C0054,refund_status-17,想请你帮忙：不是要重新退货，只查之前退的钱。,refund_status,test,course-authored-synthetic,1.0.0
S0048,C0023,exchange_request-00,我这边的情况是：我要申请换货，谢谢。,exchange_request,train,course-authored-synthetic,1.0.0
S0049,C0101,change_address-06,麻烦确认一下，收货电话要换成新的。,change_address,train,course-authored-synthetic,1.0.0
S0050,C0086,exchange_request-02,想请你帮忙：颜色买错了可以换货吗。,exchange_request,train,course-authored-synthetic,1.0.0
S0051,C0228,cancel_order-00,麻烦确认一下，订单还没发货，我要取消。,cancel_order,train,course-authored-synthetic,1.0.0
S0052,C0211,unknown-test-07,你好，能不能帮我规划旅游路线？,unknown,test,course-authored-synthetic,1.0.0
S0053,C0042,product_info-07,你好，产品适不适合办公室使用？,product_info,train,course-authored-synthetic,1.0.0
S0054,C0035,change_address-04,想请你帮忙：地址填错了需要修改。,change_address,train,course-authored-synthetic,1.0.0
S0055,C0149,refund_status-18,我这边的情况是：支付账户没有收到返还的金额，谢谢。,refund_status,test,course-authored-synthetic,1.0.0
S0056,C0053,exchange_request-14,我这边的情况是：这台想置换为正确型号，谢谢。,exchange_request,validation,course-authored-synthetic,1.0.0
S0057,C0119,complaint-12,你好，请把服务态度问题升级给经理？,complaint,validation,course-authored-synthetic,1.0.0
S0058,C0161,exchange_request-03,我这边的情况是：换货流程怎么走，谢谢。,exchange_request,train,course-authored-synthetic,1.0.0
S0059,C0056,return_request-06,我这边的情况是：请给我办理退货，谢谢。,return_request,train,course-authored-synthetic,1.0.0
S0060,C0146,shipping_status-01,快递已经发出了吗。,shipping_status,train,course-authored-synthetic,1.0.0
S0061,C0061,return_request-18,想请你帮忙：已经拆封但不需要了能寄回吗。,return_request,test,course-authored-synthetic,1.0.0
S0062,C0006,return_request-16,我这边的情况是：不是换货，我要退回商品，谢谢。,return_request,test,course-authored-synthetic,1.0.0
S0063,C0209,invoice-15,我这边的情况是：开具的票据在哪里领取，谢谢。,invoice,validation,course-authored-synthetic,1.0.0
