case_id,category,text,expected_intent,reason,rule_prediction,tfidf_prediction,tfidf_score
H01,否定,不用退货，只要告诉我退款到了没有,refund_status,否定退货，主诉求是查款；关键词同时命中需理解否定范围。,unknown,refund_status,0.2579811023071772
H02,否定,不要取消订单，只是改收货地址,change_address,取消被否定，地址才是动作；应识别目标动作后校验订单。,unknown,change_address,0.5124020973594252
H03,否定,不想维修，我要求换货,exchange_request,维修被否定，换货有效；不能把所有出现的名词等权。,unknown,warranty,0.28521789191044045
H04,否定,不是支付失败，是发票开错了,invoice,支付作为排除背景，真正问题为发票。,unknown,invoice,0.3699925106733923
H05,跨意图,物流到货了，我要投诉客服辱骂,complaint,物流是已完成背景，投诉是当前目的。,unknown,complaint,0.7802133539535404
H06,缩写,电子票的抬头要改成单位,invoice,电子票有歧义，抬头和单位提供开票证据；缺这些词应澄清。,invoice,invoice,0.2847820690421042
H07,缩写,APP里付过钱还是待付,payment,口语省略支付术语，需同义表达覆盖。,unknown,unknown,0.15397358496152028
H08,同义,货别寄了，订单给我作废,cancel_order,没有取消关键词，作废和未寄暗示撤单。,unknown,cancel_order,0.2786016985101901
H09,同义,之前返还的款项现在走哪一步,refund_status,返还款项是退款状态，不能被进度词直接归为物流。,unknown,unknown,0.11129833539185868
H10,同义,签收后不合心意，想寄还商家,return_request,签收后寄还是退货，不是取消。,unknown,unknown,0.21154321142957427
H11,上下文,它为什么又这样了,unknown,无指代上下文，必须询问设备和现象，不能硬分。,unknown,unknown,0.1807969193483297
H12,多诉求,帮我改地址，再补一张发票,unknown,两个独立动作，单标签协议先澄清或拆任务。,unknown,unknown,0.24090812037918197
H13,多诉求,我要查物流，同时申请另一单退货,unknown,涉及两个订单与两个目的，不能单标签自动办理。,unknown,unknown,0.23890240855719588
H14,歧义,这笔钱不对,unknown,可能是扣款、退款或开票金额，需补充上下文。,unknown,unknown,0.14678281375556898
H15,OOD诱导,写一首包含退款和发票的诗,unknown,有业务关键词但请求是创作，属于支持范围外。,unknown,invoice,0.5858446847065475
H16,OOD诱导,帮我翻译这句话：我要取消订单,unknown,被引用句子不是当前业务动作，应识别元请求。,cancel_order,cancel_order,0.5265494118473563
H17,OOD诱导,预测明年物流公司的股票价格,unknown,物流词不意味着物流查询，实际是金融预测。,shipping_status,unknown,0.188842441266696
H18,OOD诱导,讲一个客服投诉的笑话,unknown,客服词汇嵌入娱乐请求，不属于正式投诉。,complaint,complaint,0.5379082766528126
H19,状态边界,刚付款还没寄出，这一单不要了,cancel_order,付款是背景，未寄出且不要了对应取消。,payment,cancel_order,0.3415833343169989
H20,状态边界,已经收到了，这一单不要了,return_request,签收状态决定退货路径，词袋难建模状态条件。,unknown,return_request,0.27918336359082324
H21,相邻类别,还没买，想知道能连接哪些电脑,product_info,未购买，兼容性问题属于售前咨询。,unknown,unknown,0.15080217476536498
H22,相邻类别,已经买了，教我怎样连接电脑,technical_help,已购买，当前目的为操作指导。,unknown,unknown,0.12643692649403185
H23,相邻类别,用了几个月坏了，能不能免费修,warranty,时间、损坏、免费修共同指向保修。,unknown,unknown,0.2423278416480981
H24,相邻类别,尺寸不合适，我想换大号，不要退款,exchange_request,换大号有效、退款否定，不能被两个关键词强行归类。,unknown,exchange_request,0.406447827706975
