intent,name,precision,recall,f1-score,support
shipping_status,物流查询,0.6666666666666666,0.5,0.5714285714285714,20.0
cancel_order,取消订单,0.0,0.0,0.0,20.0
refund_status,退款进度,0.0,0.0,0.0,20.0
return_request,退货申请,0.0,0.0,0.0,20.0
exchange_request,换货申请,0.0,0.0,0.0,20.0
invoice,发票问题,1.0,0.5,0.6666666666666666,20.0
payment,支付问题,0.5,0.5,0.5,20.0
change_address,修改收件信息,0.0,0.0,0.0,20.0
warranty,保修维修,1.0,0.5,0.6666666666666666,20.0
technical_help,安装使用,1.0,0.75,0.8571428571428571,20.0
complaint,服务投诉,1.0,0.25,0.4,20.0
product_info,售前咨询,1.0,0.25,0.4,20.0
unknown,拒识/未知,0.21052631578947367,1.0,0.34782608695652173,40.0
