intent,name,precision,recall,f1-score,support
shipping_status,物流查询,0.0,0.0,0.0,20.0
cancel_order,取消订单,0.5882352941176471,0.5,0.5405405405405406,20.0
refund_status,退款进度,0.625,0.25,0.35714285714285715,20.0
return_request,退货申请,0.45454545454545453,0.25,0.3225806451612903,20.0
exchange_request,换货申请,1.0,0.05,0.09523809523809523,20.0
invoice,发票问题,0.5555555555555556,0.25,0.3448275862068966,20.0
payment,支付问题,0.2857142857142857,0.1,0.14814814814814814,20.0
change_address,修改收件信息,1.0,0.55,0.7096774193548387,20.0
warranty,保修维修,0.9,0.45,0.6,20.0
technical_help,安装使用,1.0,0.15,0.2608695652173913,20.0
complaint,服务投诉,1.0,0.85,0.918918918918919,20.0
product_info,售前咨询,1.0,0.05,0.09523809523809523,20.0
unknown,拒识/未知,0.2185792349726776,1.0,0.35874439461883406,40.0
